Value,Byte1,Byte2,IANA,DTLS?,Reference,OpenSSL,Version,Kx,Au,Enc,Mac,Export?
"0x00,0x8A",0x00,0x8A,TLS_PSK_WITH_RC4_128_SHA,false,[RFC4279][RFC6347],PSK-RC4-SHA,SSLv3,PSK,PSK,RC4(128),SHA1,false
"0x00,0x8B",0x00,0x8B,TLS_PSK_WITH_3DES_EDE_CBC_SHA,true,[RFC4279],PSK-3DES-EDE-CBC-SHA,SSLv3,PSK,PSK,3DES(168),SHA1,false
"0x00,0x8C",0x00,0x8C,TLS_PSK_WITH_AES_128_CBC_SHA,true,[RFC4279],PSK-AES128-CBC-SHA,SSLv3,PSK,PSK,AES(128),SHA1,false
"0x00,0x8D",0x00,0x8D,TLS_PSK_WITH_AES_256_CBC_SHA,true,[RFC4279],PSK-AES256-CBC-SHA,SSLv3,PSK,PSK,AES(256),SHA1,false
"0x00,0x8E",0x00,0x8E,TLS_DHE_PSK_WITH_RC4_128_SHA,false,[RFC4279][RFC6347],,,,,,,
"0x00,0x8F",0x00,0x8F,TLS_DHE_PSK_WITH_3DES_EDE_CBC_SHA,true,[RFC4279],,,,,,,
"0x00,0x90",0x00,0x90,TLS_DHE_PSK_WITH_AES_128_CBC_SHA,true,[RFC4279],,,,,,,
"0x00,0x91",0x00,0x91,TLS_DHE_PSK_WITH_AES_256_CBC_SHA,true,[RFC4279],,,,,,,
"0x00,0x92",0x00,0x92,TLS_RSA_PSK_WITH_RC4_128_SHA,false,[RFC4279][RFC6347],,,,,,,
"0x00,0x93",0x00,0x93,TLS_RSA_PSK_WITH_3DES_EDE_CBC_SHA,true,[RFC4279],,,,,,,
"0x00,0x94",0x00,0x94,TLS_RSA_PSK_WITH_AES_128_CBC_SHA,true,[RFC4279],,,,,,,
"0x00,0x95",0x00,0x95,TLS_RSA_PSK_WITH_AES_256_CBC_SHA,true,[RFC4279],,,,,,,
"0x00,0x96",0x00,0x96,TLS_RSA_WITH_SEED_CBC_SHA,true,[RFC4162],SEED-SHA,SSLv3,RSA,RSA,SEED(128),SHA1,false
"0x00,0x97",0x00,0x97,TLS_DH_DSS_WITH_SEED_CBC_SHA,true,[RFC4162],,,,,,,
"0x00,0x98",0x00,0x98,TLS_DH_RSA_WITH_SEED_CBC_SHA,true,[RFC4162],,,,,,,
"0x00,0x99",0x00,0x99,TLS_DHE_DSS_WITH_SEED_CBC_SHA,true,[RFC4162],DHE-DSS-SEED-SHA,SSLv3,DH,DSS,SEED(128),SHA1,false
"0x00,0x9A",0x00,0x9A,TLS_DHE_RSA_WITH_SEED_CBC_SHA,true,[RFC4162],DHE-RSA-SEED-SHA,SSLv3,DH,RSA,SEED(128),SHA1,false
"0x00,0x9B",0x00,0x9B,TLS_DH_anon_WITH_SEED_CBC_SHA,true,[RFC4162],ADH-SEED-SHA,SSLv3,DH,None,SEED(128),SHA1,false
"0x00,0x9C",0x00,0x9C,TLS_RSA_WITH_AES_128_GCM_SHA256,true,[RFC5288],AES128-GCM-SHA256,TLSv1.2,RSA,RSA,AESGCM(128),AEAD,false
"0x00,0x9D",0x00,0x9D,TLS_RSA_WITH_AES_256_GCM_SHA384,true,[RFC5288],AES256-GCM-SHA384,TLSv1.2,RSA,RSA,AESGCM(256),AEAD,false
"0x00,0x9E",0x00,0x9E,TLS_DHE_RSA_WITH_AES_128_GCM_SHA256,true,[RFC5288],DHE-RSA-AES128-GCM-SHA256,TLSv1.2,DH,RSA,AESGCM(128),AEAD,false
"0x00,0x9F",0x00,0x9F,TLS_DHE_RSA_WITH_AES_256_GCM_SHA384,true,[RFC5288],DHE-RSA-AES256-GCM-SHA384,TLSv1.2,DH,RSA,AESGCM(256),AEAD,false
"0x00,0xA0",0x00,0xA0,TLS_DH_RSA_WITH_AES_128_GCM_SHA256,true,[RFC5288],,,,,,,
"0x00,0xA1",0x00,0xA1,TLS_DH_RSA_WITH_AES_256_GCM_SHA384,true,[RFC5288],,,,,,,
"0x00,0xA2",0x00,0xA2,TLS_DHE_DSS_WITH_AES_128_GCM_SHA256,true,[RFC5288],DHE-DSS-AES128-GCM-SHA256,TLSv1.2,DH,DSS,AESGCM(128),AEAD,false
"0x00,0xA3",0x00,0xA3,TLS_DHE_DSS_WITH_AES_256_GCM_SHA384,true,[RFC5288],DHE-DSS-AES256-GCM-SHA384,TLSv1.2,DH,DSS,AESGCM(256),AEAD,false
"0x00,0xA4",0x00,0xA4,TLS_DH_DSS_WITH_AES_128_GCM_SHA256,true,[RFC5288],,,,,,,
"0x00,0xA5",0x00,0xA5,TLS_DH_DSS_WITH_AES_256_GCM_SHA384,true,[RFC5288],,,,,,,
"0x00,0xA6",0x00,0xA6,TLS_DH_anon_WITH_AES_128_GCM_SHA256,true,[RFC5288],ADH-AES128-GCM-SHA256,TLSv1.2,DH,None,AESGCM(128),AEAD,false
"0x00,0xA7",0x00,0xA7,TLS_DH_anon_WITH_AES_256_GCM_SHA384,true,[RFC5288],ADH-AES256-GCM-SHA384,TLSv1.2,DH,None,AESGCM(256),AEAD,false
"0x00,0xA8",0x00,0xA8,TLS_PSK_WITH_AES_128_GCM_SHA256,true,[RFC5487],,,,,,,
"0x00,0xA9",0x00,0xA9,TLS_PSK_WITH_AES_256_GCM_SHA384,true,[RFC5487],,,,,,,
"0x00,0xAA",0x00,0xAA,TLS_DHE_PSK_WITH_AES_128_GCM_SHA256,true,[RFC5487],,,,,,,
"0x00,0xAB",0x00,0xAB,TLS_DHE_PSK_WITH_AES_256_GCM_SHA384,true,[RFC5487],,,,,,,
"0x00,0xAC",0x00,0xAC,TLS_RSA_PSK_WITH_AES_128_GCM_SHA256,true,[RFC5487],,,,,,,
"0x00,0xAD",0x00,0xAD,TLS_RSA_PSK_WITH_AES_256_GCM_SHA384,true,[RFC5487],,,,,,,
"0x00,0xAE",0x00,0xAE,TLS_PSK_WITH_AES_128_CBC_SHA256,true,[RFC5487],,,,,,,
"0x00,0xAF",0x00,0xAF,TLS_PSK_WITH_AES_256_CBC_SHA384,true,[RFC5487],,,,,,,
"0x00,0xB0",0x00,0xB0,TLS_PSK_WITH_NULL_SHA256,true,[RFC5487],,,,,,,
